group,ID,original,quiescent_current,voltage_gain,cutoff_frequency,current_slope
MAMX,MAMX01,True,5.53437313064928,26.834051062554146,641.1235691864358,9.798101055431336e-05
MAMX,MAMX02,True,5.5052611045539,26.76187916408724,645.476173699535,9.85081727202293e-05
MAMX,MAMX03,True,5.49567071720954,26.861855625812524,639.1815398362387,9.875224257062496e-05
MAMX,MAMX04,True,5.473378580063541,26.839550687397644,640.4290979941348,9.898534965603388e-05
MAMX,MAMX05,True,5.467873346060481,26.92177956543774,641.6932431806281,9.923585370923635e-05
MAMX,MAMX06,True,5.39258578792212,26.84686707313363,642.2032645145089,9.925241760874014e-05
MAMX,MAMX07,True,5.29774595051998,26.825634096437035,632.7904322939007,9.950255095517296e-05
MAMX,MAMX08,True,5.360271222889379,26.818216838360115,636.053912051214,9.990318164639176e-05
MAMX,MAMX09,True,5.35785146057602,26.8518958085029,631.8985330599354,0.0001003857039108
MAMX,MAMX10,True,5.36299776285882,26.858793304082248,633.8114438488749,0.0001004169629576
MAMX,MAMX11,True,5.3337253630161,26.9464816830481,632.053715849693,0.0001014839368269
MAMX,MAMX12,True,5.34095233306284,26.934643006043142,630.530783908083,0.0001011648856099
MAMX,MAMX13,True,5.417190957814439,26.92572323046653,626.6919220080326,0.0001003246841088
MAMX,MAMX14,True,5.4314809851348205,26.903686640429623,628.243248791613,0.0001012074122316
MAMX,MAMX15,True,5.39339138194914,26.924932332785016,628.1584982786646,0.000101448445212
MAMX,MAMX16,True,5.389515403658081,26.961511448477165,626.0791528061656,0.0001007280854724
MAMX,MAMX17,True,5.366251803934519,26.843277053734028,625.4013954009471,0.000101958979453
MAMX,MAMX18,True,5.3529344499111,26.905978835154592,624.8094373385778,0.0001012778096787
MAMX,MAMX19,True,5.34044746309514,26.837293750193464,621.3083023851275,0.0001017394813495
MAMX,MAMX20,True,5.38498116657132,26.897759513751232,632.7745192572248,0.0001000594062556
